genre,rank_within_genre,tmdb_id,title,release_year,release_date,popularity,vote_average,vote_count,poster_url,overview,source_tmdb_genres,source_sort_orders
Comedy,38,1321439,The Wrong Paris,2025,2025-09-11,2.0575,6.7,314,https://image.tmdb.org/t/p/w500/A0KRoR842OgNByCfw9iFHbWoeR9.jpg,"Dawn thinks she's joining a dating show in Paris, France, only to land in Paris, Texas. She has an exit plan — until sparks fly with the cowboy bachelor.",Comedy,primary_release_date.desc
Comedy,39,1267905,The Roses,2025,2025-08-27,4.1232,6.67,700,https://image.tmdb.org/t/p/w500/99O8HLHklXGzvF2TqiRqr7WddzT.jpg,"Life seems easy for picture-perfect couple Ivy and Theo: successful careers, a loving marriage, great kids. But beneath the façade of their supposed ideal life, a storm is brewing – as Theo's career nosedives while Ivy's own ambitions take off, a tinderbox of fierce competition and hidden resentment ignites.",Comedy,primary_release_date.desc
Comedy,40,1245993,Caught Stealing,2025,2025-08-26,4.3868,6.863,1001,https://image.tmdb.org/t/p/w500/cvda8s5J8YaHjTyEyXQpvD6f3iV.jpg,"Burned-out ex-baseball player Hank Thompson unexpectedly finds himself embroiled in a dangerous struggle for survival amidst the criminal underbelly of late 1990s New York City, forced to navigate a treacherous underworld he never imagined.",Comedy,primary_release_date.desc
Comedy,41,744653,The Thursday Murder Club,2025,2025-08-22,4.2463,6.591,1032,https://image.tmdb.org/t/p/w500/jbnazCHr8S2l2glyvjPTpa4NbEw.jpg,A group of senior sleuths passionate about solving cold cases get plunged into a real-life murder mystery in this comic crime caper.,Comedy,primary_release_date.desc
Comedy,42,1151334,Eenie Meanie,2025,2025-08-21,4.1202,6.319,329,https://image.tmdb.org/t/p/w500/12Va3oO3oYUdOd75zM57Nx1976a.jpg,A former teenage getaway driver gets dragged back into her unsavory past when a former employer offers her a chance to save the life of her chronically unreliable ex-boyfriend.,Comedy,primary_release_date.desc
Comedy,43,507244,Afterburn,2025,2025-08-20,5.5428,6.265,307,https://image.tmdb.org/t/p/w500/fSXZFZVfJmC2v0TkW711QD5o76N.jpg,"Set against the backdrop of a postapocalyptic Earth whose Eastern Hemisphere was destroyed by a massive solar flare, leaving what life remains mutated from radiation and fallout. The story revolves around a group of treasure hunters who extract such objects as the Mona Lisa, the Rosetta Stone and the Crown Jewels while facing rival hunters, mutants and pirates.",Comedy,primary_release_date.desc
Comedy,44,1007734,Nobody 2,2025,2025-08-13,12.5556,6.93,1620,https://image.tmdb.org/t/p/w500/svXVRoRSu6zzFtCzkRsjZS7Lqpd.jpg,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",Comedy,primary_release_date.desc
Comedy,45,1125257,Freakier Friday,2025,2025-08-06,34.1986,6.8,718,https://image.tmdb.org/t/p/w500/9wV65OmsjLAqBfDnYTkMPutXH8j.jpg,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.",Comedy,primary_release_date.desc|popularity.desc
Comedy,46,1307078,My Oxford Year,2025,2025-07-31,6.5526,7.027,603,https://image.tmdb.org/t/p/w500/jrhXbIOFingzdLjkccjg9vZnqIp.jpg,An ambitious American fulfilling her dream of studying at Oxford falls for a charming Brit hiding a secret that may upend her perfectly planned life.,Comedy,primary_release_date.desc
Comedy,47,1035259,The Naked Gun,2025,2025-07-30,11.9409,6.372,1769,https://image.tmdb.org/t/p/w500/rwla9vqzrKVVKVKiOuROTIXGsxj.jpg,"Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr. Following in his father's footsteps, he must solve a murder case to prevent Police Squad from closure.",Comedy,primary_release_date.desc
Comedy,48,1106289,The Pickup,2025,2025-07-27,4.8327,6.397,481,https://image.tmdb.org/t/p/w500/vFWvWhfAvij8UIngg2Vf6JV95Cr.jpg,A routine cash pickup takes a wild turn when mismatched armored truck drivers Russell and Travis are ambushed by ruthless criminals led by savvy mastermind Zoe.,Comedy,primary_release_date.desc
Comedy,49,1263256,Happy Gilmore 2,2025,2025-07-25,9.2201,6.5,973,https://image.tmdb.org/t/p/w500/E3dPHPJigkXwuiE0n1vzz0se8a.jpg,"Happy Gilmore isn't done with golf — not by a long shot. Since his retirement after his first Tour Championship win, Gilmore returns to finance his daughter's ballet classes.",Comedy,primary_release_date.desc
Comedy,50,1175942,The Bad Guys 2,2025,2025-07-24,15.5725,7.652,801,https://image.tmdb.org/t/p/w500/26oSPnq0ct59l07QOXZKyzsiRtN.jpg,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",Comedy,primary_release_date.desc|popularity.desc
Crime,1,1439930,The Punisher: One Last Kill,2026,2026-05-12,126.4529,8.343,1717,https://image.tmdb.org/t/p/w500/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",Crime,primary_release_date.desc|popularity.desc|vote_average.desc
Crime,2,1301421,The Sheep Detectives,2026,2026-04-30,212.1504,7.642,316,https://image.tmdb.org/t/p/w500/6QtL9rl3Zb4d8qW6EJ4qO5hSSfU.jpg,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",Crime,primary_release_date.desc|popularity.desc
Crime,3,1115544,Mike & Nick & Nick & Alice,2026,2026-03-14,15.4241,6.694,373,https://image.tmdb.org/t/p/w500/7F0jc75HrSkLVcvOXR2FXAIwuEv.jpg,"Two gangsters and the woman they love try to survive the most dangerous night of their lives. As if that wasn’t enough, there’s one wild ingredient added to the mix: a time machine.",Crime,primary_release_date.desc|popularity.desc
Crime,4,875828,Peaky Blinders: The Immortal Man,2026,2026-03-05,22.8884,7.248,1038,https://image.tmdb.org/t/p/w500/gRMalasZEzsZi4w2VFuYusfSfqf.jpg,"After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation.",Crime,primary_release_date.desc|popularity.desc
Crime,5,1159559,Scream 7,2026,2026-02-25,47.3752,6.188,1080,https://image.tmdb.org/t/p/w500/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",Crime,primary_release_date.desc|popularity.desc
